INFO,  key,         value
INFO,  year_start,  2003-02-01
INFO,  year_tag,    Y2003_to_2004
INFO,  title,       My Annual Accounts

ERA,  dotdot,     key,        desc
ERA,  -,          year_0001,  Year 2000 - 2001
ERA,  -,          year_0102,  Year 2001 - 2002
ERA,  -,          year_0203,  Year 2002 - 2003
ERA,  -,          year_0304,  Year 2003 - 2004
ERA,  -,          year_0405,  Year 2004 - 2005
ERA,  -,          year_0506,  Year 2005 - 2006
ERA,  2000_Q1,    2000-03,    2000 March
ERA,  year_0001,  2000_Q1,    VAT Q1 Mar Apr May
ERA,  2000_Q1,    2000-04,    2000 April
ERA,  2000_Q1,    2000-05,    2000 May
ERA,  2000_Q2,    2000-06,    2000 June
ERA,  year_0001,  2000_Q2,    VAT Q2 Jun Jul Aug
ERA,  2000_Q2,    2000-07,    2000 July
ERA,  2000_Q2,    2000-08,    2000 August
ERA,  2000_Q3,    2000-09,    2000 September
ERA,  year_0001,  2000_Q3,    VAT Q3 Sep Oct Nov
ERA,  2000_Q3,    2000-10,    2000 October
ERA,  2000_Q3,    2000-11,    2000 November
ERA,  2000_Q4,    2000-12,    2000 December
ERA,  year_0001,  2000_Q4,    VAT Q4 Dec Jan
ERA,  2000_Q4,    2001-01,    2001 January
ERA,  2001_Q0,    2001-02,    2001 February
ERA,  year_0102,  2001_Q0,    VAT Q0 Feb
ERA,  2001_Q1,    2001-03,    2001 March
ERA,  year_0102,  2001_Q1,    VAT Q1 Mar Apr May
ERA,  2001_Q1,    2001-04,    2001 April
ERA,  2001_Q1,    2001-05,    2001 May
ERA,  2001_Q2,    2001-06,    2001 June
ERA,  year_0102,  2001_Q2,    VAT Q2 Jun Jul Aug
ERA,  2001_Q2,    2001-07,    2001 July
ERA,  2001_Q2,    2001-08,    2001 August
ERA,  2001_Q3,    2001-09,    2001 September
ERA,  year_0102,  2001_Q3,    VAT Q3 Sep Oct Nov
ERA,  2001_Q3,    2001-10,    2001 October
ERA,  2001_Q3,    2001-11,    2001 November
ERA,  2001_Q4,    2001-12,    2001 December
ERA,  year_0102,  2001_Q4,    VAT Q4 Dec Jan
ERA,  2001_Q4,    2002-01,    2002 January
ERA,  2002_Q0,    2002-02,    2002 February
ERA,  year_0203,  2002_Q0,    VAT Q0 Feb
ERA,  2002_Q1,    2002-03,    2002 March
ERA,  year_0203,  2002_Q1,    VAT Q1 Mar Apr
ERA,  2002_Q1,    2002-04,    2002 April
ERA,  2002_Q2,    2002-05,    2002 May
ERA,  year_0203,  2002_Q2,    VAT Q2 May Jun Jul
ERA,  2002_Q2,    2002-06,    2002 June
ERA,  2002_Q2,    2002-07,    2002 July
ERA,  2002_Q3,    2002-08,    2002 August
ERA,  year_0203,  2002_Q3,    VAT Q3 Aug Sep Oct
ERA,  2002_Q3,    2002-09,    2002 September
ERA,  2002_Q3,    2002-10,    2002 October
ERA,  2002_Q4,    2002-11,    2002 November
ERA,  year_0203,  2002_Q4,    VAT Q4 Nov Dec Jan
ERA,  2002_Q4,    2002-12,    2002 December
ERA,  2002_Q4,    2003-01,    2003 January
ERA,  2003_Q1,    2003-02,    2003 February
ERA,  year_0304,  2003_Q1,    VAT Q1 Feb Mar Apr
ERA,  2003_Q1,    2003-03,    2003 March
ERA,  2003_Q1,    2003-04,    2003 April
ERA,  2003_Q2,    2003-05,    2003 May
ERA,  year_0304,  2003_Q2,    VAT Q2 May Jun Jul
ERA,  2003_Q2,    2003-06,    2003 June
ERA,  2003_Q2,    2003-07,    2003 July
ERA,  2003_Q3,    2003-08,    2003 August
ERA,  year_0304,  2003_Q3,    VAT Q3 Aug Sep Oct
ERA,  2003_Q3,    2003-09,    2003 September
ERA,  2003_Q3,    2003-10,    2003 October
ERA,  2003_Q4,    2003-11,    2003 November
ERA,  year_0304,  2003_Q4,    VAT Q4 Nov Dec Jan
ERA,  2003_Q4,    2003-12,    2003 December
ERA,  2003_Q4,    2004-01,    2004 January
ERA,  2004_Q1,    2004-02,    2004 February
ERA,  year_0405,  2004_Q1,    VAT Q1 Feb Mar Apr
ERA,  2004_Q1,    2004-03,    2004 March
ERA,  2004_Q1,    2004-04,    2004 April
ERA,  2004_Q2,    2004-05,    2004 May
ERA,  year_0405,  2004_Q2,    VAT Q2 May Jun Jul
ERA,  2004_Q2,    2004-06,    2004 June
ERA,  2004_Q2,    2004-07,    2004 July
